"ResponseId","name","warm","study","competent"
"R_1rJioO9GY9PMhYx","kenya","70","bertrand","60"
"R_1rJioO9GY9PMhYx","lakisha","70","bertrand","60"
"R_1rJioO9GY9PMhYx","latonya","75","bertrand","60"
"R_1rJioO9GY9PMhYx","latoya","70","bertrand","60"
"R_1rJioO9GY9PMhYx","tamika","75","bertrand","60"
"R_1rJioO9GY9PMhYx","tanisha","70","bertrand","60"
"R_1rJioO9GY9PMhYx","darnell","70","bertrand","60"
"R_1rJioO9GY9PMhYx","hakim","70","bertrand","60"
"R_1rJioO9GY9PMhYx","jamal","60","bertrand","60"
"R_1rJioO9GY9PMhYx","jermaine","60","bertrand","60"
"R_1rJioO9GY9PMhYx","kareem","65","bertrand","60"
"R_1rJioO9GY9PMhYx","leroy","50","bertrand","60"
"R_1rJioO9GY9PMhYx","rasheed","65","bertrand","60"
"R_1rJioO9GY9PMhYx","tremayne","55","bertrand","60"
"R_1rJioO9GY9PMhYx","tyrone","60","bertrand","60"
"R_3no6V4r6nFErwFG","allison","87","bertrand","83"
"R_3no6V4r6nFErwFG","anne","82","bertrand","66"
"R_3no6V4r6nFErwFG","carrie","51","bertrand","37"
"R_3no6V4r6nFErwFG","emily","46","bertrand","51"
"R_3no6V4r6nFErwFG","jill","89","bertrand","85"
"R_3no6V4r6nFErwFG","laurie","54","bertrand","61"
"R_3no6V4r6nFErwFG","kristen","26","bertrand","37"
"R_3no6V4r6nFErwFG","meredith","72","bertrand","86"
"R_3no6V4r6nFErwFG","sarah","67","bertrand","94"
"R_3no6V4r6nFErwFG","brad","27","bertrand","11"
"R_3no6V4r6nFErwFG","brendan","69","bertrand","66"
"R_3no6V4r6nFErwFG","geoffrey","76","bertrand","71"
"R_3no6V4r6nFErwFG","greg","57","bertrand","68"
"R_3no6V4r6nFErwFG","brett","43","bertrand","10"
"R_3no6V4r6nFErwFG","jay","64","bertrand","71"
"R_3no6V4r6nFErwFG","matthew","51","bertrand","76"
"R_3no6V4r6nFErwFG","neil","60","bertrand","93"
"R_3no6V4r6nFErwFG","todd","51","bertrand","59"
"R_3no6V4r6nFErwFG","aisha","74","bertrand","40"
"R_3no6V4r6nFErwFG","ebony","67","bertrand","68"
"R_3no6V4r6nFErwFG","keisha","60","bertrand","33"
"R_3no6V4r6nFErwFG","kenya","89","bertrand","80"
"R_3no6V4r6nFErwFG","lakisha","78","bertrand","18"
"R_3no6V4r6nFErwFG","latonya","85","bertrand","30"
"R_3no6V4r6nFErwFG","latoya","66","bertrand","33"
"R_3no6V4r6nFErwFG","tamika","95","bertrand","56"
"R_3no6V4r6nFErwFG","tanisha","86","bertrand","50"
"R_3no6V4r6nFErwFG","darnell","66","bertrand","71"
"R_3no6V4r6nFErwFG","hakim","66","bertrand","38"
"R_3no6V4r6nFErwFG","jamal","66","bertrand","59"
"R_3no6V4r6nFErwFG","jermaine","66","bertrand","54"
"R_3no6V4r6nFErwFG","kareem","61","bertrand","56"
"R_3no6V4r6nFErwFG","leroy","65","bertrand","65"
"R_3no6V4r6nFErwFG","rasheed","91","bertrand","94"
"R_3no6V4r6nFErwFG","tremayne","69","bertrand","33"
"R_3no6V4r6nFErwFG","tyrone","14","bertrand","23"
